,LiPF6_molality,EC_mass_fraction,DMC_cosolvent_ratio,conductivity
0,0.2,0.3,0,4.184714219
1,0.75,0.3,0.05,9.698663795
2,1.3,0.3,0.1,9.921718132
3,1.85,0.3,0.15,7.620685647
4,0.45,0.3,0.25,7.927887209
5,1,0.3,0.3,10.90307781
6,1.55,0.3,0.35,9.756365823
7,2.1,0.3,0.4,6.816676429
8,0.7,0.3,0.5,10.5719004
9,1.25,0.3,0.55,11.48596041
10,1.8,0.3,0.6,9.334856911
11,0.4,0.3,0.7,8.01123315
12,0.95,0.3,0.75,12.34606202
13,1.5,0.3,0.8,11.68069556
14,2.05,0.3,0.85,8.980292577
15,0.65,0.3,0.95,11.45838365
16,1.2,0.3,1,13.62100394
17,1.75,0.32,0,7.771256501
18,0.35,0.32,0.1,6.641947754
19,0.9,0.32,0.15,10.39383449
20,1.45,0.32,0.2,9.658137875
21,2,0.32,0.25,6.888555357
22,0.6,0.32,0.35,9.621648397
23,1.15,0.32,0.4,11.09601597
24,1.7,0.32,0.45,9.218741594
25,0.3,0.32,0.55,6.425367663
26,0.85,0.32,0.6,11.63829452
27,1.4,0.32,0.65,11.31987835
28,1.95,0.32,0.7,8.726867104
29,0.55,0.32,0.8,10.13531614
30,1.1,0.32,0.85,12.98930777
31,1.65,0.32,0.9,12.05896647
32,0.25,0.32,1,6.075686874
33,0.8,0.34,0,9.84929831
34,1.35,0.34,0.05,9.548473836
35,1.9,0.34,0.1,7.091835777
36,0.5,0.34,0.2,8.559202837
37,1.05,0.34,0.25,10.70871788
38,1.6,0.34,0.3,9.158266206
39,0.2,0.34,0.4,4.635758801
40,0.75,0.34,0.45,10.8564278
41,1.3,0.34,0.5,11.00939074
42,1.85,0.34,0.55,8.541077276
43,0.45,0.34,0.65,8.840184597
44,1,0.34,0.7,12.32994321
45,1.55,0.34,0.75,11.65531913
46,2.1,0.34,0.8,8.683616487
47,0.7,0.34,0.9,11.98444361
48,1.25,0.34,0.95,13.60486192
49,1.8,0.34,1,11.67464751
50,0.4,0.36,0.05,7.383005242
51,0.95,0.36,0.1,10.30960988
52,1.5,0.36,0.15,9.15008459
53,2.05,0.36,0.2,6.327141164
