,conductivity,GUID,run_order,Temp (C) 2,postdata,endpoint,output_cid,LiPF6_molalitt,EC_mass_fraction,DMC_cosolvent_ratio,sampling,expt_time,feeder_volume_valve_derate,feeder_densities,feeder_volumes
0,5.933696871,9441334426D6AE47B1395A4CBBE31B3F,1,25.77506494,"[('DMCEC7030', '1140-5-0.95'), ('DMCEC5050', '570-15-0.95'), ('DMCEC7030LiPF62', '0-4-0.8'), ('DMCEC5050LiPF62', '190-3-0.7')]",RUNfast_derated2,DMC_EC|62_38|LiPF6|0.18,0.18,0.38,1,RAND,16,"[('DMC_EC|70_30', '1140-5-0.95'), ('DMC_EC|50_50', '570-15-0.95'), ('DMC_EC|70_30|LiPF6|2', '0-4-0.8'), ('DMC_EC|50_50|LiPF6|2', '190-3-0.7')]","{'DMC_EC|70_30|LiPF6|2': 1.31, 'DMC_EC|50_50|LiPF6|2': 1.362, 'DMC_EC|70_30': 1.13, 'DMC_EC|50_50': 1.18}","{'DMC_EC|70_30': 1140, 'DMC_EC|50_50': 570, 'DMC_EC|70_30|LiPF6|2': 0, 'DMC_EC|50_50|LiPF6|2': 190}"
1,5.889316191,CAAEFAEE57934165A9A7075A6374764B,2,25.92,"[('DMCEC7030', '1140-5-0.95'), ('DMCEC5050', '570-15-0.95'), ('DMCEC7030LiPF62', '0-4-0.8'), ('DMCEC5050LiPF62', '190-3-0.7')]",RUNfast_derated2,DMC_EC|62_38|LiPF6|0.18,0.18,0.38,1,RAND,15,"[('DMC_EC|70_30', '1140-5-0.95'), ('DMC_EC|50_50', '570-15-0.95'), ('DMC_EC|70_30|LiPF6|2', '0-4-0.8'), ('DMC_EC|50_50|LiPF6|2', '190-3-0.7')]","{'DMC_EC|70_30|LiPF6|2': 1.31, 'DMC_EC|50_50|LiPF6|2': 1.362, 'DMC_EC|70_30': 1.13, 'DMC_EC|50_50': 1.18}","{'DMC_EC|70_30': 1140, 'DMC_EC|50_50': 570, 'DMC_EC|70_30|LiPF6|2': 0, 'DMC_EC|50_50|LiPF6|2': 190}"
2,6.396438463,BCAC95A3839D7FC5918EC8FA9BE3C415,3,26.05714286,"[('DMCEC7030', '1140-5-0.95'), ('DMCEC5050', '570-15-0.95'), ('DMCEC7030LiPF62', '0-4-0.8'), ('DMCEC5050LiPF62', '190-3-0.7')]",RUNfast_derated2,DMC_EC|62_38|LiPF6|0.18,0.18,0.38,1,RAND,16,"[('DMC_EC|70_30', '1140-5-0.95'), ('DMC_EC|50_50', '570-15-0.95'), ('DMC_EC|70_30|LiPF6|2', '0-4-0.8'), ('DMC_EC|50_50|LiPF6|2', '190-3-0.7')]","{'DMC_EC|70_30|LiPF6|2': 1.31, 'DMC_EC|50_50|LiPF6|2': 1.362, 'DMC_EC|70_30': 1.13, 'DMC_EC|50_50': 1.18}","{'DMC_EC|70_30': 1140, 'DMC_EC|50_50': 570, 'DMC_EC|70_30|LiPF6|2': 0, 'DMC_EC|50_50|LiPF6|2': 190}"
3,13.10496894,278D4E537E86A81E0E1D41B7D4883AC7,1,26.39636364,"[('DMCEC7030', '475-5-0.95'), ('DMCEC5050', '760-15-0.95'), ('DMCEC7030LiPF62', '475-4-0.8'), ('DMCEC5050LiPF62', '190-3-0.7')]",RUNfast_derated2,DMC_EC|60_40|LiPF6|0.64,0.64,0.4,1,RAND,19,"[('DMC_EC|70_30', '475-5-0.95'), ('DMC_EC|50_50', '760-15-0.95'), ('DMC_EC|70_30|LiPF6|2', '475-4-0.8'), ('DMC_EC|50_50|LiPF6|2', '190-3-0.7')]","{'DMC_EC|70_30|LiPF6|2': 1.31, 'DMC_EC|50_50|LiPF6|2': 1.362, 'DMC_EC|70_30': 1.13, 'DMC_EC|50_50': 1.18}","{'DMC_EC|70_30': 475, 'DMC_EC|50_50': 760, 'DMC_EC|70_30|LiPF6|2': 475, 'DMC_EC|50_50|LiPF6|2': 190}"
4,12.64262381,FB9D5682B359A14A8065160EB38FBEB4,2,26.36883117,"[('DMCEC7030', '475-5-0.95'), ('DMCEC5050', '760-15-0.95'), ('DMCEC7030LiPF62', '475-4-0.8'), ('DMCEC5050LiPF62', '190-3-0.7')]",RUNfast_derated2,DMC_EC|60_40|LiPF6|0.64,0.64,0.4,1,RAND,19,"[('DMC_EC|70_30', '475-5-0.95'), ('DMC_EC|50_50', '760-15-0.95'), ('DMC_EC|70_30|LiPF6|2', '475-4-0.8'), ('DMC_EC|50_50|LiPF6|2', '190-3-0.7')]","{'DMC_EC|70_30|LiPF6|2': 1.31, 'DMC_EC|50_50|LiPF6|2': 1.362, 'DMC_EC|70_30': 1.13, 'DMC_EC|50_50': 1.18}","{'DMC_EC|70_30': 475, 'DMC_EC|50_50': 760, 'DMC_EC|70_30|LiPF6|2': 475, 'DMC_EC|50_50|LiPF6|2': 190}"
5,12.37807565,29D237D06D2CBDD66E3A67ACDE38E767,3,26.38025974,"[('DMCEC7030', '475-5-0.95'), ('DMCEC5050', '760-15-0.95'), ('DMCEC7030LiPF62', '475-4-0.8'), ('DMCEC5050LiPF62', '190-3-0.7')]",RUNfast_derated2,DMC_EC|60_40|LiPF6|0.64,0.64,0.4,1,RAND,20,"[('DMC_EC|70_30', '475-5-0.95'), ('DMC_EC|50_50', '760-15-0.95'), ('DMC_EC|70_30|LiPF6|2', '475-4-0.8'), ('DMC_EC|50_50|LiPF6|2', '190-3-0.7')]","{'DMC_EC|70_30|LiPF6|2': 1.31, 'DMC_EC|50_50|LiPF6|2': 1.362, 'DMC_EC|70_30': 1.13, 'DMC_EC|50_50': 1.18}","{'DMC_EC|70_30': 475, 'DMC_EC|50_50': 760, 'DMC_EC|70_30|LiPF6|2': 475, 'DMC_EC|50_50|LiPF6|2': 190}"
6,8.216821543,6A085DED47CA81C76DC4DC34BBF9DD5D,1,26.63896104,"[('DMCEC7030', '0-5-0.95'), ('DMCEC5050', '95-15-0.95'), ('DMCEC7030LiPF62', '95-4-0.8'), ('DMCEC5050LiPF62', '1710-3-0.7')]",RUNfast_derated2,DMC_EC|51_49|LiPF6|1.89,1.89,0.49,1,RAND,16,"[('DMC_EC|70_30', '0-5-0.95'), ('DMC_EC|50_50', '95-15-0.95'), ('DMC_EC|70_30|LiPF6|2', '95-4-0.8'), ('DMC_EC|50_50|LiPF6|2', '1710-3-0.7')]","{'DMC_EC|70_30|LiPF6|2': 1.31, 'DMC_EC|50_50|LiPF6|2': 1.362, 'DMC_EC|70_30': 1.13, 'DMC_EC|50_50': 1.18}","{'DMC_EC|70_30': 0, 'DMC_EC|50_50': 95, 'DMC_EC|70_30|LiPF6|2': 95, 'DMC_EC|50_50|LiPF6|2': 1710}"
7,8.316652969,132FA80C0853501CE13AC277AAE96F96,2,26.61142857,"[('DMCEC7030', '0-5-0.95'), ('DMCEC5050', '95-15-0.95'), ('DMCEC7030LiPF62', '95-4-0.8'), ('DMCEC5050LiPF62', '1710-3-0.7')]",RUNfast_derated2,DMC_EC|51_49|LiPF6|1.89,1.89,0.49,1,RAND,17,"[('DMC_EC|70_30', '0-5-0.95'), ('DMC_EC|50_50', '95-15-0.95'), ('DMC_EC|70_30|LiPF6|2', '95-4-0.8'), ('DMC_EC|50_50|LiPF6|2', '1710-3-0.7')]","{'DMC_EC|70_30|LiPF6|2': 1.31, 'DMC_EC|50_50|LiPF6|2': 1.362, 'DMC_EC|70_30': 1.13, 'DMC_EC|50_50': 1.18}","{'DMC_EC|70_30': 0, 'DMC_EC|50_50': 95, 'DMC_EC|70_30|LiPF6|2': 95, 'DMC_EC|50_50|LiPF6|2': 1710}"
8,8.257649635,341629E0B7B942EFC6B4B9D31B18D654,3,26.59324675,"[('DMCEC7030', '0-5-0.95'), ('DMCEC5050', '95-15-0.95'), ('DMCEC7030LiPF62', '95-4-0.8'), ('DMCEC5050LiPF62', '1710-3-0.7')]",RUNfast_derated2,DMC_EC|51_49|LiPF6|1.89,1.89,0.49,1,RAND,16,"[('DMC_EC|70_30', '0-5-0.95'), ('DMC_EC|50_50', '95-15-0.95'), ('DMC_EC|70_30|LiPF6|2', '95-4-0.8'), ('DMC_EC|50_50|LiPF6|2', '1710-3-0.7')]","{'DMC_EC|70_30|LiPF6|2': 1.31, 'DMC_EC|50_50|LiPF6|2': 1.362, 'DMC_EC|70_30': 1.13, 'DMC_EC|50_50': 1.18}","{'DMC_EC|70_30': 0, 'DMC_EC|50_50': 95, 'DMC_EC|70_30|LiPF6|2': 95, 'DMC_EC|50_50|LiPF6|2': 1710}"
9,10.05028418,70EC5EDA5A9EEF195E2EDBA859812174,1,26.79012987,"[('DMCEC7030', '0-5-0.95'), ('DMCEC5050', '0-15-0.95'), ('DMCEC7030LiPF62', '1520-4-0.8'), ('DMCEC5050LiPF62', '380-3-0.7')]",RUNfast_derated2,DMC_EC|66_34|LiPF6|2.0,2,0.34,1,RAND,13,"[('DMC_EC|70_30', '0-5-0.95'), ('DMC_EC|50_50', '0-15-0.95'), ('DMC_EC|70_30|LiPF6|2', '1520-4-0.8'), ('DMC_EC|50_50|LiPF6|2', '380-3-0.7')]","{'DMC_EC|70_30|LiPF6|2': 1.31, 'DMC_EC|50_50|LiPF6|2': 1.362, 'DMC_EC|70_30': 1.13, 'DMC_EC|50_50': 1.18}","{'DMC_EC|70_30': 0, 'DMC_EC|50_50': 0, 'DMC_EC|70_30|LiPF6|2': 1520, 'DMC_EC|50_50|LiPF6|2': 380}"
